publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	ACTION
npj Systems Biology and Applications		2056-7189	2015-09-28			2018-09-06			https://www.nature.com/npjsba		npjsba		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067128	npg	931500623	raw
Cancer Gene Therapy	0929-1903	1476-5500	2009-05-01			2018-07-25			https://www.nature.com/cgt		cgt		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944677	npg	612413872	raw
Experimental and Molecular Medicine	1226-3613	2092-6413	1996-03-01			2018-09-13			https://www.nature.com/emm		emm		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067075	npg	980556806	raw
npj Genomic Medicine		2056-7944	2016-01-13			2018-09-11			https://www.nature.com/npjgenmed		npjgenmed		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067116	npg	946085854	raw
Nature Reviews Nephrology		1759-507X	2017-02-27			2017-02-27			https://www.nature.com/nrneph		nrneph		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067101	npg	620330877	raw
Nutrition and Diabetes		2044-4052	2011-01-31			2018-09-10			https://www.nature.com/nutd		nutd		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067130	npg	694510765	raw
Genes and Immunity	1466-4879	1476-5470	2009-04-09			2018-09-04			https://www.nature.com/gene		gene		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944685	npg		raw
Cell Discovery		2056-5968	2015-04-28			2018-09-11			https://www.nature.com/celldisc		celldisc		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067069	npg	915037241	raw
npj Aging and Mechanisms of Disease		2056-3973	2015-09-28			2018-08-30			https://www.nature.com/npjamd		npjamd		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067108	npg	931487405	raw
npj Primary Care Respiratory Medicine		2055-1010	2014-05-20			2018-09-13			https://www.nature.com/npjpcrm		npjpcrm		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067121	npg	883675402	raw
Palgrave Communications		2055-1045	2015-01-20			2018-09-11			https://www.nature.com/palcomms		palcomms		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067132	npg	1051795859	raw
npj Science of Learning		2056-7936	2016-05-11			2018-09-05			https://www.nature.com/npjscilearn		npjscilearn		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067127	npg	967840944	raw
Nature Reviews Gastroenterology and Hepatology		1759-5053	2014-06-10			2018-04-11			https://www.nature.com/nrgastro		nrgastro		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067098	npg	318125471	raw
